,presentation,bnf_code,dose_per_unit_x,new_ome_multiplier,ome_dose,name,unit_dose,dose_per_unit_y,total_ome,ome_diff,ome_diff_multi
335,Morphine hydrochloride 10mg/10ml inj pre-filled syringes,0407020P0AAAZAZ,10.0,2.0,20.0,Morphine hydrochloride 10mg/10ml solution for injection pre-filled syringes,10,1.0,2.0,-18.0,0.1
336,Oldaram 100mg modified-release tablets,040702040BQAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
337,Morphine sulfate 100mg/50ml solution for infusion vials,0407020Q0AAELEL,100.0,2.0,200.0,Morphine sulfate 100mg/50ml solution for infusion vials,50,2.0,4.0,-196.0,0.02
338,Diamorphine 20mg/5ml oral solution,0407020K0AADFDF,4.0,1.0,4.0,Diamorphine 20mg/5ml oral solution,1,4.0,4.0,0.0,1.0
339,Tapentadol 75mg tablets,0407020AGAAABAB,75.0,0.4,30.0,Tapentadol 75mg tablets,1,75.0,30.0,0.0,1.0
340,Fentanyl 100micrograms/dose nasal spray,0407020A0AABJBJ,1.0,160.0,160.0,Fentanyl 100micrograms/dose nasal spray,1,0.1,16.0,-144.0,0.1
341,Cynril 200microgram loz with integral oromucosal applicator,0407020A0BWAAAI,0.2,100.0,20.0,Fentanyl 200microgram lozenges,1,0.2,26.0,6.0,1.3
342,Durogesic 75micrograms transdermal patches,0407020A0BBACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
343,MST Continus 60mg tablets,0407020Q0BBACAI,60.0,1.0,60.0,Morphine 60mg modified-release tablets,1,60.0,60.0,0.0,1.0
344,Oxycodone 40mg modified-release tablets,0407020ADAAAHAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
345,Morphine sulfate 10mg/10ml inj Minijet pre-filled syringes,0407020Q0BEABFJ,1.0,2.0,2.0,Morphine sulfate 10mg/10ml solution for injection pre-filled syringes,10,1.0,2.0,0.0,1.0
346,Tramadol 300mg modified-release tablets,040702040AAAMAM,300.0,0.1,30.0,Tramadol 300mg modified-release tablets,1,300.0,30.0,0.0,1.0
347,Tramulief SR 150mg tablets,040702040BKABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
348,Zydol XL 200mg tablets,040702040BBAHAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
349,Dypracet 30mg/500mg tablets,0407010N0BFABAI,30.0,0.1,3.0,Co-dydramol 30mg/500mg tablets,1,30.0,3.0,0.0,1.0
350,Diamorphine 100mg impregnated cigarettes,0407020K0AABCBC,100.0,1.0,100.0,Diamorphine 100mg impregnated cigarettes,1,100.0,100.0,0.0,1.0
351,Morphine 2% gel,0407020Q0AAFQFQ,,,0.0,,,,,,
352,Zomorph 60mg modified-release capsules,0407020Q0BKACEH,60.0,1.0,60.0,Morphine 60mg modified-release capsules,1,60.0,60.0,0.0,1.0
353,Tramquel SR 150mg capsules,040702040BJACAI,150.0,0.1,15.0,Tramadol 150mg modified-release capsules,1,150.0,15.0,0.0,1.0
354,Bupramyl 20micrograms/hour transdermal patches,0407020B0BQACAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
355,Marol 100mg modified-release tablets (Morningside),040702040BNAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
356,Methadone 50mg/1ml solution for injection ampoules,0407020M0AAACAC,50.0,3.0,150.0,Methadone 50mg/1ml solution for injection ampoules,1,50.0,150.0,0.0,1.0
357,Fentanyl 1.6mg lozenges,0407020A0AAAPAP,1.6,100.0,160.0,Fentanyl 1.6mg lozenges,1,1.6,208.0,48.0,1.3
358,Codeine 15mg suppositories,0407020C0AAAQAQ,15.0,0.1,1.5,Codeine 15mg suppositories,1,15.0,1.5,0.0,1.0
359,Dropizol 10mg/ml oral drops,0407020W0BBAAAA,,,0.0,,,,,,
360,OxyNorm 10mg capsules,0407020ADBBADAD,10.0,2.0,20.0,Oxycodone 10mg capsules,1,10.0,15.0,-5.0,0.75
361,Synastone 50mg/2ml solution for injection ampoules,0407020M0BCACA6,50.0,3.0,150.0,Methadone 50mg/2ml solution for injection ampoules,2,25.0,75.0,-75.0,0.5
362,Morphine 0.1% in Intrasite gel,0407020Q0AAFXFX,,,0.0,,,,,,
363,Candox 5mg modified-release tablets,0407020ADBGACAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
364,Tramadol 200mg modified-release capsules,040702040AAAJAJ,200.0,0.1,20.0,Tramadol 200mg modified-release capsules,1,200.0,20.0,0.0,1.0
365,Diamorphine 10mg powder for solution for injection ampoules,0407020K0AAABAB,10.0,3.0,30.0,Diamorphine 10mg powder for solution for injection ampoules,1,10.0,30.0,0.0,1.0
366,Zydol XL 300mg tablets,040702040BBAIAM,300.0,0.1,30.0,Tramadol 300mg modified-release tablets,1,300.0,30.0,0.0,1.0
367,Reltebon 30mg modified-release tablets,0407020ADBKAGAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
368,Reltebon 5mg modified-release tablets,0407020ADBKAAAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
369,Ixyldone 60mg modified-release tablets,0407020ADBTAGAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
370,Diamorphine 500mg powder for solution for injection vials,0407020K0AAEIEI,500.0,3.0,1500.0,Diamorphine 500mg powder for solution for injection vials,1,500.0,1500.0,0.0,1.0
371,Mylafent 75micrograms/hour transdermal patches,0407020A0BUADAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
372,Busiete 10micrograms/hour transdermal patches,0407020B0BRABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
373,Fentanyl 133microgram sublingual tablets sugar free,0407020A0AABXBX,0.133,130.0,17.29,Fentanyl 133microgram sublingual tablets sugar free,1,0.133,17.29,0.0,1.0
374,Instanyl 50micrograms/dose nasal spray,0407020A0BNAIBH,0.5,160.0,80.0,Fentanyl 50micrograms/dose nasal spray,1,0.05,8.0,-72.0,0.1
375,Tramadol 100mg modified-release tablets,040702040AAACAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
376,Fencino 75micrograms/hour transdermal patches,0407020A0BQADAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
377,Tramadol 400mg modified-release tablets,040702040AAANAN,400.0,0.1,40.0,Tramadol 400mg modified-release tablets,1,400.0,40.0,0.0,1.0
378,OxyContin 60mg modified-release tablets,0407020ADBCAGAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
379,Morphine 60mg modified-release granules sachets sugar free,0407020Q0AADCDC,60.0,1.0,60.0,Morphine 60mg modified-release granules sachets sugar free,1,60.0,60.0,0.0,1.0
380,Durogesic 25micrograms transdermal patches,0407020A0BBAAAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
381,Methadone 20mg/1ml solution for injection ampoules,0407020M0AAA8A8,20.0,3.0,60.0,Methadone 20mg/1ml solution for injection ampoules,1,20.0,60.0,0.0,1.0
382,Morphine sulfate 5mg suppositories,0407020Q0AABJBJ,5.0,1.0,5.0,Morphine sulfate 5mg suppositories,1,5.0,5.0,0.0,1.0
383,Longtec 30mg modified-release tablets,0407020ADBEAHAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
384,Zamadol SR 50mg capsules,040702040BDABAG,50.0,0.1,5.0,Tramadol 50mg modified-release capsules,1,50.0,5.0,0.0,1.0
385,Durogesic DTrans 25micrograms/hour transdermal patches,0407020A0BBAIAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
386,Longtec 120mg modified-release tablets,0407020ADBEAFAP,120.0,2.0,240.0,Oxycodone 120mg modified-release tablets,1,120.0,180.0,-60.0,0.75
387,Tradorec XL 200mg tablets,040702040BIABAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
388,Fentanyl 200microgram sublingual tablets sugar free,0407020A0AAAXAX,0.2,130.0,26.0,Fentanyl 200microgram sublingual tablets sugar free,1,0.2,26.0,0.0,1.0
389,MXL 150mg capsules,0407020Q0BIAEDW,150.0,1.0,150.0,Morphine 150mg modified-release capsules,1,150.0,150.0,0.0,1.0
390,Tilofyl 50micrograms/hour transdermal patches,0407020A0BDABAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
391,Papaveretum 15.4mg/Hyoscine hydrobrom 400microg/1ml inj amp,0407020ABAAAIAI,15.4,1.0,15.4,Papaveretum 15.4mg/1ml / Hyoscine hydrobromide 400micrograms/1ml solution for injection ampoules,1,15.4,118.58,103.2,7.699999999999999
392,Zydol 50mg soluble tablets,040702040BBAFAF,50.0,0.1,5.0,Tramadol 50mg soluble tablets sugar free,1,50.0,5.0,0.0,1.0
393,Tilodol SR 200mg tablets,040702040BSACAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
394,Diamorphine 5mg powder for solution for injection vials,0407020K0AAEFEF,5.0,3.0,15.0,Diamorphine 5mg powder for solution for injection vials,1,5.0,15.0,0.0,1.0
395,Palladone SR 8mg capsules,040702050BBAEAC,8.0,5.0,40.0,Hydromorphone 8mg modified-release capsules,1,8.0,40.0,0.0,1.0
396,Diamorphine 100mg/5ml oral solution,0407020K0AADXDX,20.0,1.0,20.0,Diamorphine 100mg/5ml oral solution,1,20.0,20.0,0.0,1.0
397,Oxylan 80mg modified-release tablets (Chanelle Medical),0407020ADBFAEAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
398,Dihydrocodeine 30mg tablets,0407020G0AAACAC,30.0,0.1,3.0,Dihydrocodeine 30mg tablets,1,30.0,3.0,0.0,1.0
399,Abtard 40mg modified-release tablets,0407020ADBMAEAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
400,Tramacet 37.5mg/325mg tablets,040702040BFAAAU,37.5,0.1,3.75,Tramadol 37.5mg / Paracetamol 325mg tablets,1,37.5,3.75,0.0,1.0
401,Buprenorphine 15micrograms/hour transdermal patches,0407020B0AAAKAK,2.52,100.0,252.0,Buprenorphine 15micrograms/hour transdermal patches,1,2.52,252.0,0.0,1.0
402,Prenotrix 70micrograms/hour transdermal patches,0407020B0BJACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
403,Invodol SR 100mg tablets,040702040BTAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
404,Physeptone 10mg/1ml solution for injection ampoules,0407020M0BBABAV,10.0,3.0,30.0,Methadone 10mg/1ml solution for injection ampoules,1,10.0,30.0,0.0,1.0
405,Palladone SR 24mg capsules,040702050BBAGAB,24.0,5.0,120.0,Hydromorphone 24mg modified-release capsules,1,24.0,120.0,0.0,1.0
406,Prenotrix 52.5micrograms/hour transdermal patches,0407020B0BJABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
407,Oxycodone 20mg modified-release tablets,0407020ADAAAGAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
408,Tramadol 37.5mg / Paracetamol 325mg efferv tab sugar free,040702040AABABA,37.5,0.1,3.75,Tramadol 37.5mg / Paracetamol 325mg effervescent tablets sugar free,1,37.5,3.75,0.0,1.0
409,Palexia SR 250mg tablets,0407020AGBBAGAG,250.0,0.4,100.0,Tapentadol 250mg modified-release tablets,1,250.0,100.0,0.0,1.0
410,Distalgesic 32.5mg/325mg tablets,0407010Q0BDAAAA,32.5,0.1,3.25,Co-proxamol 32.5mg/325mg tablets,1,32.5,3.25,0.0,1.0
411,Dihydrocodeine 60mg/5ml oral liquid,0407020G0AAARAR,12.0,0.1,1.2,Dihydrocodeine 60mg/5ml oral solution,1,12.0,1.2,0.0,1.0
412,Dihydrocodeine 60mg/5ml oral liquid,0407020G0AAARAR,12.0,0.1,1.2,Dihydrocodeine 60mg/5ml oral suspension,1,12.0,1.2,0.0,1.0
413,MST Continus 10mg tablets,0407020Q0BBAAAK,10.0,1.0,10.0,Morphine 10mg modified-release tablets,1,10.0,10.0,0.0,1.0
414,Co-dydramol 20mg/500mg tablets,0407010N0AAAHAH,20.0,0.1,2.0,Co-dydramol 20mg/500mg tablets,1,20.0,2.0,0.0,1.0
415,Buplast 52.5micrograms/hour transdermal patches,0407020B0BNABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
416,Opiodur 25micrograms/hour transdermal patches (Pfizer),0407020A0BRABAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
417,Prenotrix 35micrograms/hour transdermal patches,0407020B0BJAAAE,3.36,100.0,336.0,Buprenorphine 35micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
418,Dipipanone 10mg / Cyclizine 30mg tablets,0407020H0AAABAB,10.0,0.5,5.0,Dipipanone 10mg / Cyclizine 30mg tablets,1,10.0,5.0,0.0,1.0
419,Abstral 800microgram sublingual tablets,0407020A0BJAFBB,0.8,130.0,104.0,Fentanyl 800microgram sublingual tablets sugar free,1,0.8,104.0,0.0,1.0
420,Oldaram 200mg modified-release tablets,040702040BQACAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
421,Pentazocine 30mg/1ml solution for injection ampoules,0407020U0AAAAAA,30.0,0.37,11.1,Pentazocine 30mg/1ml solution for injection ampoules,1,30.0,11.1,0.0,1.0
422,Mezolar Matrix 12micrograms/hour transdermal patches,0407020A0BFAAAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
423,OxyNorm liquid 5mg/5ml oral solution,0407020ADBBAAAA,1.0,2.0,2.0,Oxycodone 5mg/5ml oral solution sugar free,5,1.0,1.5,-0.5,0.75
424,Co-codaprin 8mg/400mg tablets,0407010M0AAAAAA,8.0,0.1,0.8,Co-codaprin 8mg/400mg tablets,1,8.0,0.8,0.0,1.0
425,Morphine hydrochloride 1.5mg/5ml oral solution,0407020P0AAAWAW,0.3,1.0,0.3,Morphine hydrochloride 1.5mg/5ml oral solution,1,0.3,0.3,0.0,1.0
426,MXL 30mg capsules,0407020Q0BIAAEG,30.0,1.0,30.0,Morphine 30mg modified-release capsules,1,30.0,30.0,0.0,1.0
427,Fentanyl 600microgram sublingual tablets sugar free,0407020A0AABABA,0.6,130.0,78.0,Fentanyl 600microgram sublingual tablets sugar free,1,0.6,78.0,0.0,1.0
428,Methadone 35mg/3.5ml solution for injection ampoules,0407020M0AAATAT,35.0,3.0,105.0,Methadone 35mg/3.5ml solution for injection ampoules,3.5,10.0,30.0,-75.0,0.2857142857142857
429,Methadone 60mg impregnated cigarettes,0407020M0AAAXAX,60.0,3.0,180.0,Methadone 60mg impregnated cigarettes,1,60.0,180.0,0.0,1.0
430,Morphine (Opium tincture) 10mg/ml oral drops sugar free,0407020W0AAAAAA,,,0.0,,,,,,
431,Dihydrocodeine 90mg modified-release tablets,0407020G0AAAEAE,90.0,0.1,9.0,Dihydrocodeine 90mg modified-release tablets,1,90.0,9.0,0.0,1.0
432,DHC Continus 60mg tablets,0407020G0BBAAAD,60.0,0.1,6.0,Dihydrocodeine 60mg modified-release tablets,1,60.0,6.0,0.0,1.0
433,Filnarine SR 10mg tablets,0407020Q0BMAAAK,10.0,1.0,10.0,Morphine 10mg modified-release tablets,1,10.0,10.0,0.0,1.0
434,Codeine 10mg suppositories,0407020C0AAALAL,10.0,0.1,1.0,Codeine 10mg suppositories,1,10.0,1.0,0.0,1.0
435,Leveraxo 5mg modified-release tablets,0407020ADBPAAAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
436,Oxycodone 10mg/ml oral solution sugar free,0407020ADAAABAB,10.0,2.0,20.0,Oxycodone 10mg/ml oral solution sugar free,1,10.0,15.0,-5.0,0.75
437,Oxycodone 15mg modified-release tablets,0407020ADAAASAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
438,Morphine hydrochloride 10mg/5ml oral solution,0407020P0AAASAS,2.0,1.0,2.0,Morphine hydrochloride 10mg/5ml oral solution,1,2.0,2.0,0.0,1.0
439,Diamorphine 120mg impregnated cigarettes,0407020K0AAEVEV,120.0,1.0,120.0,Diamorphine 120mg impregnated cigarettes,1,120.0,120.0,0.0,1.0
440,Oxylan 80mg modified-release tablets (Actavis),0407020ADBFAJAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
441,Oxycodone 5mg modified-release tablets,0407020ADAAAKAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
442,Kapake 30mg/500mg capsules,0407010F0BHADAD,30.0,0.1,3.0,Co-codamol 30mg/500mg capsules,1,30.0,3.0,0.0,1.0
443,Abtard 30mg modified-release tablets,0407020ADBMAFAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
444,MST Continus suspension 60mg granules sachets,0407020Q0BBAHDC,60.0,1.0,60.0,Morphine 60mg modified-release granules sachets sugar free,1,60.0,60.0,0.0,1.0
445,Carlosafine 52.5micrograms/hour transdermal patches,0407020B0BTABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
446,Tramadol 50mg/5ml oral suspension,040702040AAAZAZ,10.0,0.1,1.0,Tramadol 50mg/5ml oral suspension,1,10.0,1.0,0.0,1.0
447,Morphine hydrochloride 50mg/50ml inf pre-filled syringes,0407020P0AABABA,50.0,2.0,100.0,Morphine hydrochloride 50mg/50ml solution for infusion pre-filled syringes,50,1.0,2.0,-98.0,0.02
448,Diamorphine 15mg powder for solution for injection ampoules,0407020K0AAACAC,15.0,3.0,45.0,Diamorphine 15mg powder for solution for injection ampoules,1,15.0,45.0,0.0,1.0
449,Morphine hydrochloride 30mg suppositories,0407020P0AAACAC,30.0,1.0,30.0,Morphine hydrochloride 30mg suppositories,1,30.0,30.0,0.0,1.0
450,Buprenorphine 200microgram sublingual tablets sugar free,0407020B0AAABAB,0.2,60.0,12.0,Buprenorphine 200microgram sublingual tablets sugar free,1,0.2,12.0,0.0,1.0
451,Longtec 60mg modified-release tablets,0407020ADBEAIAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
452,Morphine sulfate 10mg/10ml solution for injection ampoules,0407020Q0AAGAGA,10.0,2.0,20.0,Morphine sulfate 10mg/10ml solution for injection ampoules,10,1.0,2.0,-18.0,0.1
453,Relevtec 35micrograms/hour transdermal patches,0407020B0BPAAAE,3.36,100.0,336.0,Buprenorphine 35micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
454,Tramquel SR 100mg capsules,040702040BJABAH,100.0,0.1,10.0,Tramadol 100mg modified-release capsules,1,100.0,10.0,0.0,1.0
455,Fentanyl 800microgram buccal films sugar free,0407020A0AABVBV,0.8,180.0,144.0,Fentanyl 800microgram buccal films sugar free,1,0.8,104.0,-40.0,0.7222222222222222
456,Morphine 20mg modified-release capsules,0407020Q0AADZDZ,20.0,1.0,20.0,Morphine 20mg modified-release capsules,1,20.0,20.0,0.0,1.0
457,Fentanyl 267microgram sublingual tablets sugar free,0407020A0AABZBZ,0.267,130.0,34.71,Fentanyl 267microgram sublingual tablets sugar free,1,0.267,34.71,0.0,1.0
458,Buprenorphine 400microgram sublingual tablets sugar free,0407020B0AAADAD,0.4,60.0,24.0,Buprenorphine 400microgram sublingual tablets sugar free,1,0.4,24.0,0.0,1.0
459,OxyNorm 20mg capsules,0407020ADBBAEAE,20.0,2.0,40.0,Oxycodone 20mg capsules,1,20.0,30.0,-10.0,0.75
460,Effentora 800microgram buccal tablets,0407020A0BKAEBG,0.8,130.0,104.0,Fentanyl 800microgram buccal tablets sugar free,1,0.8,104.0,0.0,1.0
461,Diamorphine 20mg impregnated cigarettes,0407020K0AAEUEU,20.0,1.0,20.0,Diamorphine 20mg impregnated cigarettes,1,20.0,20.0,0.0,1.0
462,Morphine sulfate 2mg/5ml oral solution,0407020Q0AAFFFF,0.4,1.0,0.4,Morphine sulfate 2mg/5ml oral solution,1,0.4,0.4,0.0,1.0
463,Reltebon 10mg modified-release tablets,0407020ADBKABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
464,DF 118 Forte 40mg tablets,0407020G0BCADAI,40.0,0.1,4.0,Dihydrocodeine 40mg tablets,1,40.0,4.0,0.0,1.0
465,Relevtec 52.5micrograms/hour transdermal patches,0407020B0BPABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
466,Codeine 60mg tablets,0407020C0AAAFAF,60.0,0.1,6.0,Codeine 60mg tablets,1,60.0,6.0,0.0,1.0
467,DHC Continus 90mg tablets,0407020G0BBABAE,90.0,0.1,9.0,Dihydrocodeine 90mg modified-release tablets,1,90.0,9.0,0.0,1.0
468,Morphine 120mg modified-release capsules,0407020Q0AADVDV,120.0,1.0,120.0,Morphine 120mg modified-release capsules,1,120.0,120.0,0.0,1.0
469,Filnarine SR 100mg tablets,0407020Q0BMADAH,100.0,1.0,100.0,Morphine 100mg modified-release tablets,1,100.0,100.0,0.0,1.0
470,Pentazocine 50mg suppositories,0407020U0AAABAB,50.0,0.37,18.5,Pentazocine 50mg suppositories,1,50.0,18.5,0.0,1.0
471,Marol 100mg modified-release tablets (Teva),040702040BNAFAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
472,Dihydrocodeine 60mg modified-release tablets,0407020G0AAADAD,60.0,0.1,6.0,Dihydrocodeine 60mg modified-release tablets,1,60.0,6.0,0.0,1.0
473,Oxycodone 10mg capsules,0407020ADAAADAD,10.0,2.0,20.0,Oxycodone 10mg capsules,1,10.0,15.0,-5.0,0.75
474,Abtard 20mg modified-release tablets,0407020ADBMADAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
475,Relevtec 70micrograms/hour transdermal patches,0407020B0BPACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
476,Zytram SR 200mg tablets,040702040BVADAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
477,Tramacet 37.5mg/325mg effervescent tablets,040702040BFABBA,37.5,0.1,3.75,Tramadol 37.5mg / Paracetamol 325mg effervescent tablets sugar free,1,37.5,3.75,0.0,1.0
478,Fencino 12micrograms/hour transdermal patches,0407020A0BQAAAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
479,Mezolar Matrix 100micrograms/hour transdermal patches,0407020A0BFAEAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
480,Fentanyl 300microgram sublingual tablets sugar free,0407020A0AAAYAY,0.3,130.0,39.0,Fentanyl 300microgram sublingual tablets sugar free,1,0.3,39.0,0.0,1.0
481,Morphine hydrochloride 100mg/5ml oral solution,0407020P0AAAPAP,20.0,1.0,20.0,Morphine hydrochloride 100mg/5ml oral solution,1,20.0,20.0,0.0,1.0
482,Rhotard Morphine SR 10mg tablets,0407020Q0BPAAAK,10.0,1.0,10.0,Morphine 10mg modified-release tablets,1,10.0,10.0,0.0,1.0
483,Panitaz 5micrograms/hour transdermal patches,0407020B0BLAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
484,Shortec 10mg/ml concentrate oral solution,0407020ADBJAHAB,10.0,2.0,20.0,Oxycodone 10mg/ml oral solution sugar free,1,10.0,15.0,-5.0,0.75
485,Oxyargin 10mg/5mg modified-release tablets,0407020AFBDABAA,10.0,2.0,20.0,Oxycodone 10mg / Naloxone 5mg modified-release tablets,1,10.0,15.0,-5.0,0.75
486,Kapake 15mg/500mg tablets,0407010F0BHAFAK,15.0,0.1,1.5,Co-codamol 15mg/500mg tablets,1,15.0,1.5,0.0,1.0
487,Osmanil 50micrograms/hour transdermal patches,0407020A0BLABAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
488,Dihydrocodeine 120mg modified-release tablets,0407020G0AAAFAF,120.0,0.1,12.0,Dihydrocodeine 120mg modified-release tablets,1,120.0,12.0,0.0,1.0
489,Morphgesic SR 30mg tablets,0407020Q0BNABAL,30.0,1.0,30.0,Morphine 30mg modified-release tablets,1,30.0,30.0,0.0,1.0
490,Palexia SR 150mg tablets,0407020AGBBAEAE,150.0,0.4,60.0,Tapentadol 150mg modified-release tablets,1,150.0,60.0,0.0,1.0
491,Osmanil 75micrograms/hour transdermal patches,0407020A0BLACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
492,Zamadol 100mg/2ml solution for injection ampoules,040702040BDAFAB,100.0,0.1,10.0,Tramadol 100mg/2ml solution for injection ampoules,2,50.0,5.0,-5.0,0.5
493,Morphine hydrochloride 5mg/5ml oral solution,0407020P0AAARAR,1.0,1.0,1.0,Morphine hydrochloride 5mg/5ml oral solution,1,1.0,1.0,0.0,1.0
494,Pethidine 10mg/1ml solution for injection ampoules,0407020V0AAAZAZ,10.0,0.24,2.4,Pethidine 10mg/1ml solution for injection ampoules,1,10.0,2.4,0.0,1.0
495,Leveraxo 10mg modified-release tablets,0407020ADBPABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
496,Turgeon 35micrograms/hour transdermal patches,0407020B0BSAAAE,3.36,100.0,336.0,Buprenorphine 35micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
497,Ixyldone 40mg modified-release tablets,0407020ADBTAFAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
498,Dihydrocodeine 10mg/5ml oral suspension,0407020G0AAAPAP,2.0,0.1,0.2,Dihydrocodeine 10mg/5ml oral suspension,1,2.0,0.2,0.0,1.0
499,Opiodur 75micrograms/hour transdermal patches (Pfizer),0407020A0BRACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
500,Myloxifin 10mg/5mg modified-release tablets,0407020AFBCAAAA,10.0,2.0,20.0,Oxycodone 10mg / Naloxone 5mg modified-release tablets,1,10.0,15.0,-5.0,0.75
501,Morphine hydrochloride 5mg/5ml inj ampoules,0407020P0AABCBC,5.0,2.0,10.0,Morphine hydrochloride 5mg/5ml solution for injection ampoules,5,1.0,2.0,-8.0,0.2
502,Morphine sulfate 1mg/5ml oral solution,0407020Q0AAFHFH,1.0,1.0,1.0,Morphine sulfate 1mg/5ml oral solution,1,0.2,0.2,-0.8,0.2
